Title	Year	Score	Runtime	Genre	Rating
Baby Boom, 	1987, 	6.1/10, 	110 minutes, 	Comedy, 	PG

Withnail & I, 	1987, 	7.8/10, 	107 minutes, 	Comedy, 	R

Flowers in the Attic, 	1987, 	5.7/10, 	93 minutes, 	Drama, 	PG-13

Broadcast News, 	1987, 	7.2/10, 	133 minutes, 	Comedy, 	R

T?nel al infierno, 	1987, 	6/10, 	85 minutes, 	Fantasy, 	PG-13

Superman IV: The Quest for Peace, 	1987, 	3.6/10, 	90 minutes, 	Action, 	PG

Creepshow 2, 	1987, 	6/10, 	92 minutes, 	Comedy, 	R

Teen Wolf Too, 	1987, 	3.2/10, 	95 minutes, 	Comedy, 	PG

Roxanne, 	1987, 	6.6/10, 	107 minutes, 	Comedy, 	PG

The Secret of My Succe$s, 	1987, 	6.5/10, 	111 minutes, 	Comedy, 	PG-13

Dragnet, 	1987, 	5.9/10, 	106 minutes, 	Comedy, 	PG-13

Rita  Sue and Bob Too, 	1987, 	6.4/10, 	93 minutes, 	Comedy, 	R

Blind Date, 	1987, 	5.9/10, 	95 minutes, 	Comedy, 	PG-13

House II: The Second Story, 	1987, 	5.4/10, 	88 minutes, 	Comedy, 	PG-13

Police Academy 4: Citizens on Patrol, 	1987, 	4.8/10, 	88 minutes, 	Comedy, 	PG

The Garbage Pail Kids Movie, 	1987, 	2.7/10, 	100 minutes, 	Adventure, 	PG

Throw Momma from the Train, 	1987, 	6.2/10, 	88 minutes, 	Comedy, 	PG-13

The Stepfather, 	1987, 	6.8/10, 	89 minutes, 	Horror, 	R

The Hidden, 	1987, 	7/10, 	96 minutes, 	Action, 	R

Amazon Women on the Moon, 	1987, 	6.2/10, 	85 minutes, 	Comedy, 	R

Barfly, 	1987, 	7.3/10, 	100 minutes, 	Comedy, 	R

Three O'Clock High, 	1987, 	7.2/10, 	97 minutes, 	Comedy, 	PG-13

Babette's Feast, 	1987, 	7.8/10, 	102 minutes, 	Comedy, 	G

The Believers, 	1987, 	6.1/10, 	114 minutes, 	Crime, 	R

The Pick-up Artist, 	1987, 	5.2/10, 	81 minutes, 	Comedy, 	PG-13

Radio Days, 	1987, 	7.6/10, 	88 minutes, 	Comedy, 	PG

Aria, 	1987, 	5.8/10, 	90 minutes, 	Comedy, 	R

Ernest Goes to Camp, 	1987, 	5.5/10, 	92 minutes, 	Comedy, 	PG

Au Revoir les Enfants, 	1987, 	8/10, 	104 minutes, 	Drama, 	PG

Someone to Watch Over Me, 	1987, 	6.1/10, 	106 minutes, 	Crime, 	R

Who's That Girl, 	1987, 	4.7/10, 	92 minutes, 	Comedy, 	PG

Cry Freedom, 	1987, 	7.5/10, 	157 minutes, 	Biography, 	PG

The Fourth Protocol, 	1987, 	6.5/10, 	119 minutes, 	Thriller, 	R

Ironweed, 	1987, 	6.8/10, 	143 minutes, 	Drama, 	R

Black Widow, 	1987, 	6.3/10, 	102 minutes, 	Crime, 	R

Stakeout, 	1987, 	6.6/10, 	117 minutes, 	Action, 	R

